
1.query4_result_TaggedMost

The movie gets most tags is: Pulp Fiction (1994), 308 times.
Query time: 0.978s



2.query5_result_RattedMost

The movie being ratted most times is : Pulp Fiction (1994), 34864 times
Query time: 36.199s



3.query6_result_YearMovieNumber

Year, MovieNumber
1915, 1
1916, 2
1917, 2
1918, 2
1919, 4
1920, 5
1921, 3
1922, 7
1923, 6
1924, 6
1925, 10
1926, 10
1927, 19
1928, 10
1929, 7
1930, 15
1931, 16
1932, 22
1933, 23
1934, 18
1935, 18
1936, 32
1937, 30
1938, 19
1939, 37
1940, 40
1941, 28
1942, 38
1943, 40
1944, 37
1945, 36
1946, 38
1947, 39
1948, 46
1949, 37
1950, 44
1951, 44
1952, 40
1953, 55
1954, 43
1955, 57
1956, 53
1957, 62
1958, 62
1959, 61
1960, 66
1961, 57
1962, 69
1963, 63
1964, 72
1965, 72
1966, 87
1967, 68
1968, 72
1969, 64
1970, 71
1971, 73
1972, 83
1973, 81
1974, 75
1975, 74
1976, 75
1977, 83
1978, 82
1979, 87
1980, 161
1981, 178
1982, 170
1983, 111
1984, 137
1985, 158
1986, 166
1987, 205
1988, 214
1989, 212
1990, 200
1991, 188
1992, 212
1993, 258
1994, 307
1995, 362
1996, 384
1997, 370
1998, 384
1999, 357
2000, 405
2001, 403
2002, 441
2003, 366
2004, 342
2005, 332
2006, 345
2007, 364
2008, 251
Query time: 0.2s

